Numero parcometro,Nome parcometro,Latitudine,Longitudine
101,Via Trento fronte civ.  9a,45.54780618306145,10.220719812472767
102,Via Trento fronte civ. 1f,45.54784432270339,10.220904194578717
103,P.le C. Battisti civ. 6,45.54548574274557,10.220416806524529
104,P.le C. Battisti civ. 17,45.54585861696326,10.220183454354423
105,Via L. da Vinci fronte civ. 20,45.54537444353888,10.219931326722357
107,Bretella V.Marsala,45.54415268874433,10.215560415777462
108,Via S. Pellico fronte 4,45.54525752462223,10.217512535373608
110,Via S. Pellico fronte 10,45.54500884731699,10.218900996148493
111,Via Borgo Trento civ 47,45.552877050916194,10.22359313695062
113,Via Borgo Trento civ 70,45.553955100714205,10.22468566618689
117,Via Tartaglia fronte 43,45.54380412516187,10.21198654636624
119,Via Tartaglia fronte civ. 15,45.54272681807361,10.211421745111872
120,Via Tartaglia fronte civ. 1a,45.54235399136916,10.211258426183601
121,Via Tartaglia civ. 7,45.54262631555944,10.211060738363924
122,Via Tartaglia civ. 5,45.54228750896646,10.21053704610082
124,Via Bezzecca lato Sud,45.54830398238116,10.220395033536482
125,Via Ugoni 14,45.54177630496005,10.210119999005947
126,Via Ugoni 2,45.54114157180279,10.210395535719556
127,Via Ugoni civ. 1a,45.54130807402713,10.21074431107499
129,Via Ugoni civ.1/3,45.54062820349281,10.210560795827869
130,Via Ugoni 6C,45.54034424591593,10.210510557454674
131,Via Ugoni 6a,45.540331885160406,10.210974919353403
135,Via dei Mille civ. 10,45.53995046118893,10.211339990200468
136,Via dei Mille civ. 4a,45.540549964865455,10.211516500059664
139,Via Calatafimi fronte civ. 8b,45.54286001458689,10.212588306532199
140,Via Calatafimi fronte 18,45.54341131529477,10.212633637542343
141,Via Calatafimi civ. 22,45.5439115375824,10.21288931102306
142,Via Lupi di Toscana,45.54555713360633,10.213702157655936
143,Via Marconi fr metropolitana,45.551469835490444,10.224392997335935
144,Via Marconi,45.55224031956297,10.22495047316254
145,Via Pasquali,45.552311588973055,10.223910006566843
146,Via Marconi lato EST,45.553156482312694,10.225647337460908
148,V.d. Grazie lato OVEST,45.543633755391006,10.2140921585643
149,Via Foscolo -Lato Sud,45.5469052340317,10.217248626675278
150,Via Foscolo -Lato Nord,45.54679885348575,10.217698616675577
151,Via Foscolo -Lato Sud,45.54663184968687,10.21855599191404
152,Via Trento tra V.Bezzecca e V.Bredina,45.54830408466723,10.220382071078946
155,V.d. Grazie lato EST int. V.Battaglie,45.54490292728217,10.214714697341774
157,Via S.Caterina lato NORD,45.543420235382555,10.215147073103914
158,Via Cipani lato EST,45.55205018022543,10.223370706225676
159,V.le Italia lato Est,45.54161664648568,10.209603086840806
160,Via Marchetti lato Nord,45.5413132091754,10.20867404881102
